Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Fruit,Diet-Seed,Diet-PlantO,Code,plants,invertebrates,vertebrates,trophic_level,trophLevel,trophLevel2
0,0,0,0,0,0,20,80,LWDU,100,0,0,2,2,2
0,0,0,0,0,10,10,80,GRGO,100,0,0,2,2,2
30,0,0,0,0,0,30,40,KBDU,70,30,0,2.3,2,2
10,0,0,0,10,0,20,60,RUSH,80,10,10,2.3,2,2
10,0,0,0,0,0,30,60,CPGO,90,10,0,2.1,2,2
0,0,0,0,0,0,30,70,GADW,100,0,0,2,2,2
0,0,0,0,0,0,20,80,EUWI,100,0,0,2,2,2
10,0,0,0,0,0,30,60,ISBD,90,10,0,2.1,2,2
60,0,0,0,0,0,20,20,NOSH,40,60,0,2.6,3,3
20,0,0,0,10,0,20,50,NOPI,70,20,10,2.4000000000000004,2,2
40,0,10,10,0,0,10,30,GARG,40,40,20,2.8000000000000003,3,3
30,0,0,0,0,0,20,50,GWTE,70,30,0,2.3,2,2
10,0,10,10,0,0,20,50,COPO,70,10,20,2.5,2,2
30,0,0,70,0,0,0,0,COKI,0,30,70,3.6999999999999997,4,4
30,0,30,40,0,0,0,0,WTKI,0,30,70,3.6999999999999997,4,4
20,0,0,80,0,0,0,0,PIKI,0,20,80,3.8000000000000003,4,4
40,0,0,20,0,0,20,20,WBWA,40,40,20,2.8000000000000003,3,3
20,0,10,10,0,20,20,20,COMO,60,20,20,2.6,3,3
10,10,10,10,0,0,30,30,EUCO,60,10,30,2.7,3,3
60,0,10,10,0,10,10,0,BTGO,20,60,20,3,3,3
80,0,10,10,0,0,0,0,SPRE,0,80,20,3.2,3,3.5
80,0,10,10,0,0,0,0,CORE,0,80,20,3.2,3,3.5
60,0,0,20,0,0,0,20,MASA,20,60,20,3,3,3
70,0,0,20,0,0,0,10,GRSA,10,70,20,3.1,3,3.5
100,0,0,0,0,0,0,0,WOSA,0,100,0,3,3,3
50,0,20,20,0,0,0,10,COSA,10,50,40,3.3000000000000003,3,3.5
70,0,0,0,0,0,0,30,LIST,30,70,0,2.7,3,3
90,0,0,0,0,0,0,10,TEST,10,90,0,2.9000000000000004,3,3
50,0,10,10,0,0,10,20,RUFF,30,50,20,2.9000000000000004,3,3
60,0,0,0,0,0,40,0,GPSN,40,60,0,2.6,3,3
60,0,0,0,0,0,40,0,PTJA,40,60,0,2.6,3,3
30,0,0,0,0,0,0,70,BWJA,70,30,0,2.3,2,2
100,0,0,0,0,0,0,0,BWST,0,100,0,3,3,3
70,0,0,0,0,10,10,10,PGPL,30,70,0,2.7,3,3
100,0,0,0,0,0,0,0,LRPL,0,100,0,3,3,3
100,0,0,0,0,0,0,0,RWLA,0,100,0,3,3,3
50,0,0,50,0,0,0,0,RITE,0,50,50,3.5,4,3.5
40,0,30,30,0,0,0,0,WHTE,0,40,60,3.5999999999999996,4,4
80,0,20,0,0,0,0,0,LIGR,0,80,20,3.2,3,3.5
20,0,20,60,0,0,0,0,ORDA,0,20,80,3.8000000000000003,4,4
0,0,0,100,0,0,0,0,INCO,0,0,100,4,4,4
10,0,10,80,0,0,0,0,GRCO,0,10,90,3.9000000000000004,4,4
80,0,10,10,0,0,0,0,YEBI,0,80,20,3.2,3,3.5
30,20,30,20,0,0,0,0,BCNH,0,30,70,3.6999999999999997,4,4
60,0,20,20,0,0,0,0,LIEG,0,60,40,3.4000000000000004,3,3.5
20,10,10,60,0,0,0,0,GRHE,0,20,80,3.8000000000000003,4,4
30,20,30,20,0,0,0,0,PUHE,0,30,70,3.6999999999999997,4,4
40,0,20,20,0,0,0,20,IPHE,20,40,40,3.2,3,3.5
30,0,30,40,0,0,0,0,STHE,0,30,70,3.6999999999999997,4,4
80,0,10,10,0,0,0,0,GLIB,0,80,20,3.2,3,3.5
40,0,40,20,0,0,0,0,BHIB,0,40,60,3.5999999999999996,4,4
50,0,20,20,0,0,10,0,RNIB,10,50,40,3.3000000000000003,3,3.5
70,0,10,10,0,0,0,10,EUSP,10,70,20,3.1,3,3.5
20,0,20,60,0,0,0,0,PAST,0,20,80,3.8000000000000003,4,4
90,0,10,0,0,0,0,0,ASOP,0,90,10,3.1,3,3.5
30,0,30,40,0,0,0,0,AWNS,0,30,70,3.6999999999999997,4,4
50,0,0,10,0,0,20,20,GRFL,40,50,10,2.7,3,3
10,0,10,10,10,0,30,30,SACR,60,10,30,2.7,3,3
10,10,10,0,0,0,30,40,GHSW,70,10,20,2.5,2,2
50,20,20,0,0,0,10,0,ISCU,10,50,40,3.3000000000000003,3,3.5
0,0,20,80,0,0,0,0,LICO,0,0,100,4,4,4
40,10,30,20,0,0,0,0,GREG,0,40,60,3.5999999999999996,4,4
20,0,10,70,0,0,0,0,INEG,0,20,80,3.8000000000000003,4,4
