grid,GREG,BWST,ASOP,GHSW,GLIB,PTJA,RWLA,PGPL,WOSA,COSA,PUHE,EUSP,RITE,RUSH,GRFL,LIEG,LIST,PAST,SPRE,BWJA,LICO,RNIB,WTKI,GRHE,PIKI,LWDU,IPHE,KBDU,COKI,GRCO,WBWA,BCNH,INEG,BHIB,TEST,COMO,SACR,ORDA,GPSN,CPGO,ISBD,LIGR,EUCO,ISCU,YEBI,STHE,AWNS,LRPL,GARG
85,5,8,1,6,13,1,12,8,1,3,6,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,55,55,7,35,1,12,0,2,1,1,0,1,1,0,1,80,35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,4,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,17,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,4,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,3,0,15,0,0,4,0,2,0,1,0,0,0,0,3,0,1,0,1,1,2,2,0,1,0,8,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,10,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,3,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,5,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,13,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,6,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
49,4,10,3,17,11,22,4,0,1,0,4,0,1,0,0,0,0,1,0,10,32,0,0,1,0,44,0,0,2,0,0,0,3,0,0,0,0,3,10,4,7,3,12,0,0,0,0,0,0
49,0,1,0,3,22,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,1,0,0,0,0,0
293,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,1,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
271,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
225,0,2,3,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2,2,12,6,1,0,2,0,0,0,0,11,1,0,0,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,12,22,2,12,0,0,1,0,0,2,2,55,1,0,0,8,0,55,5,1,1,1,1,0,0,0,4,0,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,2,0,0,2,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
263,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,5,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
237,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
187,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,0,0,3,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,22,0,1,0,0,7,1,1,0,0,1,2,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,1,0,2,3,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,90,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,2,0,2,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,44,0,0,0,0,1,1,0,5,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0
333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,6,4,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,1,10,1,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,80,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
41,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,2,1,1,0,6,1,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1,0,1,0,2,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
94,3,0,0,15,1,4,4,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,1,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,33,1,1,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
98,1,13,0,1,0,0,2,0,0,0,0,4,0,0,0,3,0,7,0,3,1,0,0,1,0,3,1,2,1,0,3,0,3,1,0,0,0,0,2,0,0,7,0,0,0,0,3,0,0
99,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,3,1,0,1,0,1,0,0,0,0,23,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
277,1,22,0,8,1,0,22,0,0,0,3,1,0,0,0,0,0,0,7,1,1,1,3,0,1,125,0,32,0,1,1,0,5,1,0,2,0,0,0,1,55,5,80,0,1,0,0,0,3
366,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,21,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,1,0
367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,17,1,26,9,5,5,0,0,1,3,16,0,0,48,1,0,9,0,11,1,0,0,0,1,111,8,2,0,0,0,0,8,6,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
319,1,1,0,15,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,0,275,32,0,3,0,0,0,20,0,0,0,0,1,0,0,0,12,5,0,1,0,0,15,32,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0
23,2,1,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2,0,4,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,5,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,0,0,2,180,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,9,0,0,0,0,3,0,27,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
146,0,0,0,22,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
144,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,3,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
117,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,2,4,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,2,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,4,0,0,9,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
412,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,2,0,0,2,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0
382,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,0,9,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,17,1,0,0,1,61,1,18,0,0,0,0,13,0,0,1,0,0,0,0,8,12,0,0,0,0,0,0,0
423,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
429,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
291,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48,0,32,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,10,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,1,2,0,0,1,4,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
219,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,1,0,0,0,2,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
285,0,5,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
306,0,17,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,2,4,7,0,0,1,140,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
280,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,3,1,17,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,1,2,1,3,0,0,14,1,17,0,0,1,0,3,2,0,12,0,0,0,1,13,0,60,0,0,0,0,0,0
198,0,3,0,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,0,2,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
105,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
129,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,2,0,0,4,0,0,3,1,0,0,0,1,0,0,10,0,0,0,0,0,2,0,0
181,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0
