obs_zero,exp_zero_prob
0,0.37
0,0.01
0,0.065
0,0.285
0,0.01
0,0.06
1,0.07
0,0.005
0,0
0,0.16
0,0.01
0,0.045
0,0.055
0,0
0,0.015
0,0.125
0,0.005
0,0
0,0.08
0,0
0,0.01
0,0.1
0,0
0,0.03
1,0.385
0,0.015
0,0.16
0,0.025
0,0
0,0
0,0.24
0,0.01
0,0.035
0,0.185
0,0
0,0.035
0,0.425
0,0.035
0,0.095
1,0.55
0,0.04
0,0.195
0,0.22
0,0.01
0,0.025
0,0.115
0,0.015
0,0.02
0,0.41
0,0.005
0,0.065
0,0.28
0,0.025
0,0.045
0,0.325
0,0.02
0,0.085
1,0.41
0,0.025
0,0.13
0,0.155
0,0
0,0
0,0.365
0,0.015
0,0.08
0,0.17
0,0.01
0,0.03
0,0.16
0,0.005
0,0.04
0,0.44
0,0.035
0,0.1
1,0.54
0,0.025
0,0.135
0,0.22
0,0
0,0.035
0,0.115
0,0
0,0.01
1,0.525
0,0.025
0,0.185
0,0.085
0,0.005
0,0.01
0,0.12
0,0.01
0,0.035
0,0.12
0,0.005
0,0.025
0,0.07
0,0.005
0,0.01
1,0.22
0,0.015
0,0.04
0,0.245
0,0.01
0,0.045
0,0.56
0,0.04
0,0.155
0,0.145
0,0.01
0,0.02
0,0.17
0,0.005
0,0.025
0,0.175
0,0.02
0,0.06
0,0.055
0,0
0,0.005
0,0.045
0,0.005
0,0
0,0.255
0,0.005
0,0.055
0,0.14
0,0.01
0,0.015
0,0.005
0,0
0,0
0,0.205
0,0.005
0,0.05
0,0.155
0,0.01
0,0.04
0,0.325
0,0
0,0.04
1,0.45
0,0.015
0,0.135
1,0.175
0,0
0,0.025
0,0.195
0,0.005
0,0.025
0,0.11
0,0.005
0,0
0,0.195
0,0.01
0,0.035
0,0.13
0,0.01
0,0.06
0,0.205
0,0.01
0,0.02
1,0.24
0,0.01
1,0.035
0,0.41
0,0.025
0,0.115
1,0.15
0,0.005
0,0.03
0,0.145
0,0
0,0.015
1,0.23
0,0.005
0,0.045
0,0.37
0,0.02
0,0.09
0,0.11
0,0
0,0.02
0,0.1
0,0.005
0,0.015
1,0.3
0,0.04
0,0.04
0,0.165
0,0.01
0,0.02
0,0.16
0,0.01
0,0.015
0,0.02
0,0
0,0
1,0.095
0,0
0,0.005
0,0.14
0,0.015
0,0.04
1,0.04
0,0.01
0,0.01
